var_p	var_s	variation	string	resp1	resp2	log_odds	gcm
2	0.7	hotelban/hotelben	matéz	18	9	0.6418538861723947	0.5648737871764193
2	0.7	hotelban/hotelben	monveg	4	23	-1.5686159179138452	0.48138360471957903
2	0.7	hotelban/hotelben	murdeš	9	17	-0.587786664902119	0.4943458014558068
2	0.7	hotelban/hotelben	narem	9	18	-0.6418538861723948	0.5134643267496106
2	0.7	hotelban/hotelben	navec	12	17	-0.325422400434628	0.5249868457521052
2	0.7	hotelban/hotelben	nidét	3	26	-1.9095425048844383	0.5490634700803704
2	0.7	hotelban/hotelben	nuhét	12	15	-0.2076393647782445	0.552700380477326
2	0.7	hotelban/hotelben	ṉábét	16	13	0.1941560144409574	0.5398165315067327
2	0.7	hotelban/hotelben	ṉamet	10	19	-0.5978370007556204	0.5177289267364008
2	0.7	hotelban/hotelben	ṉarcéj	13	13	0	0.5467659638317919
2	0.7	hotelban/hotelben	ṉítem	1	25	-2.5649493574615367	0.5032683059035983
2	0.7	hotelban/hotelben	ṉupér	13	13	0	0.5465293733349774
2	0.7	hotelban/hotelben	pazév	13	13	0	0.5572537359628222
2	0.7	hotelban/hotelben	pijél	2	24	-2.120263536200091	0.547219333785145
2	0.7	hotelban/hotelben	pišéj	3	24	-1.8325814637483104	0.5542865019825837
2	0.7	hotelban/hotelben	pítend	3	26	-1.9095425048844383	0.4837999780948915
2	0.7	hotelban/hotelben	pivéd	7	20	-0.9650808960435872	0.5463044896508124
2	0.7	hotelban/hotelben	pratej	6	23	-1.2321436812926323	0.5035473262426894
2	0.7	hotelban/hotelben	prištél	2	24	-2.120263536200091	0.5071303662012097
2	0.7	hotelban/hotelben	prisec	1	26	-2.6026896854443837	0.48661140646351375
2	0.7	hotelban/hotelben	priskenc	2	25	-2.159484249353372	0.4525525393671406
2	0.7	hotelban/hotelben	rapsek	6	23	-1.2321436812926323	0.5055237929437594
2	0.7	hotelban/hotelben	ronsek	6	20	-1.0986122886681098	0.47565772071902895
2	0.7	hotelban/hotelben	ronvet	5	24	-1.4271163556401458	0.46772078543791856
2	0.7	hotelban/hotelben	šartej	9	17	-0.587786664902119	0.5185515373729056
2	0.7	hotelban/hotelben	šihen	1	26	-2.6026896854443837	0.5099930990250743
2	0.7	hotelban/hotelben	šortem	5	24	-1.4271163556401458	0.4779675407751258
2	0.7	hotelban/hotelben	špábét	21	6	1.1451323043030026	0.5245259244900491
2	0.7	hotelban/hotelben	španél	17	9	0.5877866649021191	0.5451695417876703
2	0.7	hotelban/hotelben	špatel	4	22	-1.5260563034950494	0.5147085824919916
2	0.7	hotelban/hotelben	špáten	9	20	-0.7419373447293773	0.4951966111653535
2	0.7	hotelban/hotelben	špicet	2	25	-2.159484249353372	0.49620701455924593
2	0.7	hotelban/hotelben	špivél	5	24	-1.4271163556401458	0.5342405841639748
2	0.7	hotelban/hotelben	špizec	3	26	-1.9095425048844383	0.5028454898283742
2	0.7	hotelban/hotelben	šporzem	4	25	-1.6486586255873816	0.46926084643315474
2	0.7	hotelban/hotelben	šprivenc	3	23	-1.791759469228055	0.4692787919729213
2	0.7	hotelban/hotelben	šprízem	3	26	-1.9095425048844383	0.4826457343902538
2	0.7	hotelban/hotelben	špuméṉ	9	17	-0.587786664902119	0.5365770689383104
2	0.7	hotelban/hotelben	šurneḏ	9	17	-0.587786664902119	0.49578267543829485
2	0.7	hotelban/hotelben	sanéj	15	14	0.06453852113757116	0.5694909207637895
2	0.7	hotelban/hotelben	sibed	2	25	-2.159484249353372	0.5052778812493253
2	0.7	hotelban/hotelben	sihét	2	24	-2.120263536200091	0.554178476330549
2	0.7	hotelban/hotelben	sutend	7	19	-0.916290731874155	0.4969495465547812
2	0.7	hotelban/hotelben	tarhéz	21	6	1.1451323043030026	0.5342231115331095
2	0.7	hotelban/hotelben	tivenc	4	23	-1.5686159179138452	0.48090723747104724
2	0.7	hotelban/hotelben	tošéj	22	7	1.0560526742493137	0.5431872731366946
2	0.7	hotelban/hotelben	trájeg	5	21	-1.2992829841302609	0.4881811393034176
2	0.7	hotelban/hotelben	tranék	17	12	0.32542240043462795	0.5310962351247291
2	0.7	hotelban/hotelben	tránéj	21	6	1.1451323043030026	0.5205748706926361
2	0.7	hotelban/hotelben	trapseḏ	4	22	-1.5260563034950494	0.48829919230127106
2	0.7	hotelban/hotelben	trigenc	1	28	-2.6741486494265287	0.4680113856747593
2	0.7	hotelban/hotelben	trikép	3	23	-1.791759469228055	0.5112357104595174
2	0.7	hotelban/hotelben	trinčeg	3	23	-1.791759469228055	0.47449552384570975
2	0.7	hotelban/hotelben	trišmél	3	23	-1.791759469228055	0.5055200840955644
2	0.7	hotelban/hotelben	trodéj	22	5	1.3437347467010947	0.525542130359097
2	0.7	hotelban/hotelben	tuméj	10	19	-0.5978370007556204	0.5541722285133497
2	0.7	hotelban/hotelben	višmer	0	27	-3.332204510175204	0.4986170789605283
2	0.7	hotelban/hotelben	vodec	6	20	-1.0986122886681098	0.49450806456383306
2	0.7	hotelban/hotelben	vodép	8	19	-0.7985076962177716	0.5379329293456373
2	0.7	hotelban/hotelben	vorsen	4	25	-1.6486586255873816	0.4748538391124032
2	0.7	hotelban/hotelben	vublet	6	20	-1.0986122886681098	0.4811782947367237
2	0.7	hotelban/hotelben	vurnel	5	21	-1.2992829841302609	0.48979447703385753
2	0.7	hotelban/hotelben	zábéṉ	8	18	-0.7472144018302211	0.5420978748048363
